,Predictions
2023-03-25,4783.37556640625
2023-03-26,3356.2778980805897
2023-03-27,2635.9382371076317
2023-03-28,3152.430302164714
2023-03-29,2840.0272065418067
2023-03-30,4583.189484375
2023-03-31,2551.085249337332
2023-04-01,2650.6214108427503
2023-04-02,4351.388793924387
2023-04-03,3261.4697407226563
2023-04-04,4518.737869718424
2023-04-05,2384.2541546111042
2023-04-06,2989.8799725179033
2023-04-07,2773.568759931873
2023-04-08,2879.103942743986
2023-04-09,3273.8693915690105
2023-04-10,2612.6253813313806
2023-04-11,3310.2382090308774
2023-04-12,3913.494516194661
2023-04-13,2789.7628310122527
2023-04-14,2614.934910116722
2023-04-15,2364.5564638121646
2023-04-16,4244.721033081055
2023-04-17,3730.117118652344
2023-04-18,2925.3948194431905
2023-04-19,2749.880944250402
2023-04-20,4605.703043945313
2023-04-21,4283.737301757813
2023-04-22,2682.166305299998
2023-04-23,3913.2809351074216
2023-04-24,2854.3780748651425
2023-04-25,2839.1122857573014
2023-04-26,4474.2609393554685
2023-04-27,2641.396798581465
2023-04-28,2732.9825846718454
2023-04-29,3895.0052407307944
2023-04-30,2665.16872498721
2023-05-01,4184.109498730469
2023-05-02,3006.766118468464
2023-05-03,2807.8969700529815
2023-05-04,2664.2634652458064
2023-05-05,2555.6182973440987
2023-05-06,3915.345185872396
2023-05-07,2786.981993355306
2023-05-08,2335.9840732014977
2023-05-09,2976.4315529215496
2023-05-10,2271.18057265625
2023-05-11,3349.8850783284506
2023-05-12,4524.669861466471
2023-05-13,2975.8181407249817
2023-05-14,4155.263206445313
2023-05-15,3226.7406474028085
2023-05-16,4669.589156966146
2023-05-17,3371.2734307745072
2023-05-18,2354.2044009721058
2023-05-19,3350.736858105469
2023-05-20,2982.088922928488
2023-05-21,2870.1686614901105
2023-05-22,2930.460638126629
2023-05-23,2786.6365531627844
2023-05-24,3116.8277307710187
2023-05-25,2635.261649869792
2023-05-26,3006.2007813672258
2023-05-27,2877.612594922606
2023-05-28,2888.061885405061
2023-05-29,4370.374814534506
2023-05-30,2901.62056331729
2023-05-31,4542.244876627604
2023-06-01,2925.961488415242
2023-06-02,3008.4449445806604
2023-06-03,3077.160380696614
2023-06-04,3057.5742104492188
2023-06-05,3133.930376821754
2023-06-06,2530.5611772054035
2023-06-07,3731.022566113281
2023-06-08,4784.80197265625
2023-06-09,2783.1607898410366
