,Actual_Close,Predicted_Close
2022-10-10,250.66000366210932,
2022-10-11,251.33999633789065,
2022-10-12,247.1000061035156,
2022-10-13,243.66000366210932,
2022-10-14,234.0399932861328,
2022-10-17,241.0,
2022-10-18,246.25,
2022-10-19,235.72000122070312,
2022-10-20,231.63999938964844,
2022-10-21,240.3999938964844,
2022-10-24,234.4600067138672,
2022-10-25,246.97999572753903,
2022-10-26,252.13999938964844,
2022-10-27,245.3099975585937,
2022-10-28,255.5800018310547,
2022-10-31,253.92999267578125,
2022-11-01,250.44000244140625,
2022-11-02,233.97000122070312,
2022-11-03,236.13999938964844,
2022-11-04,246.0599975585937,
2022-11-07,259.2300109863281,
2022-11-08,258.04998779296875,
2022-11-09,253.47000122070312,
2022-11-10,282.5599975585937,
2022-11-11,291.3399963378906,
2022-11-14,285.2200012207031,
2022-11-15,296.1000061035156,
2022-11-16,291.1199951171875,
2022-11-17,288.5,
2022-11-18,274.95001220703125,
2022-11-21,263.1199951171875,
2022-11-22,270.25,
2022-11-23,276.45001220703125,
2022-11-25,277.2200012207031,
2022-11-28,275.07000732421875,
2022-11-29,276.1499938964844,
2022-11-30,286.8299865722656,
2022-12-01,281.20001220703125,
2022-12-02,280.8599853515625,
2022-12-05,260.8099975585937,
2022-12-06,259.0400085449219,
2022-12-07,262.04998779296875,
2022-12-08,266.3800048828125,
2022-12-09,274.4800109863281,
2022-12-12,253.0599975585937,
2022-12-13,263.0599975585937,
2022-12-14,259.4800109863281,
2022-12-15,259.8999938964844,
2022-12-16,255.0,
2022-12-19,252.0599975585937,
2022-12-20,255.07000732421875,
2022-12-21,264.4700012207031,
2022-12-22,262.260009765625,
2022-12-23,264.4100036621094,
2022-12-27,260.6300048828125,
2022-12-28,260.0599975585937,
2022-12-29,268.3500061035156,
2022-12-30,267.19000244140625,
2023-01-03,253.27999877929688,
2023-01-04,276.7799987792969,
2023-01-05,281.3900146484375,
2023-01-06,292.07000732421875,
2023-01-09,299.5899963378906,
2023-01-10,309.6600036621094,
2023-01-11,316.4800109863281,
2023-01-12,319.4100036621094,
2023-01-13,310.3800048828125,
2023-01-17,309.25,
2023-01-18,300.42999267578125,
2023-01-19,292.70001220703125,
2023-01-20,299.1700134277344,
2023-01-23,311.2200012207031,
2023-01-24,306.4200134277344,
2023-01-25,308.1199951171875,
2023-01-26,308.989990234375,
2023-01-27,310.6499938964844,
2023-01-30,305.5199890136719,
2023-01-31,311.989990234375,
2023-02-01,323.989990234375,
2023-02-02,347.04998779296875,
2023-02-03,343.6199951171875,
2023-02-06,318.42999267578125,
2023-02-07,319.25,
2023-02-08,320.8099975585937,
2023-02-09,316.0,
2023-02-10,306.2300109863281,
2023-02-13,320.17999267578125,
2023-02-14,326.7799987792969,
2023-02-15,331.7900085449219,
2023-02-16,321.7699890136719,
2023-02-17,315.8800048828125,
2023-02-21,304.010009765625,
2023-02-22,306.5899963378906,
2023-02-23,302.82000732421875,
2023-02-24,303.17999267578125,
2023-02-27,302.9599914550781,
2023-02-28,299.0299987792969,
2023-03-01,291.54998779296875,
2023-03-02,293.1499938964844,
2023-03-03,297.2099914550781,
2023-03-06,282.5299987792969,
2023-03-07,282.5199890136719,
2023-03-08,279.75,
2023-03-09,267.1099853515625,
2023-03-10,259.7300109863281,
2023-03-13,253.66000366210932,
2023-03-14,252.0800018310547,
2023-03-15,244.1999969482422,
2023-03-16,248.2899932861328,
2023-03-17,246.4199981689453,
2023-03-20,248.6300048828125,
2023-03-21,256.260009765625,
2023-03-22,247.1000061035156,
2023-03-23,243.6499938964844,
2023-03-24,241.94000244140625,
2023-03-27,241.009994506836,
2023-03-28,241.2899932861328,
2023-03-29,245.7100067138672,
2023-03-30,237.6300048828125,
2023-03-31,243.5500030517578,
2023-04-03,241.8300018310547,
2023-04-04,241.6999969482422,
2023-04-05,232.17999267578125,
2023-04-06,236.92999267578125,
2023-04-10,240.6100006103516,
2023-04-11,239.1699981689453,
2023-04-12,235.4600067138672,
2023-04-13,235.7400054931641,
2023-04-14,233.8800048828125,
2023-04-17,239.1699981689453,
2023-04-18,245.2700042724609,
2023-04-19,250.13999938964844,
2023-04-20,245.9900054931641,
2023-04-21,245.1499938964844,
2023-04-24,251.3999938964844,
2023-04-25,245.6499938964844,
2023-04-26,245.1999969482422,
2023-04-27,254.75,
2023-04-28,255.1300048828125,
2023-05-01,259.3599853515625,
2023-05-02,257.79998779296875,
2023-05-03,256.57000732421875,
2023-05-04,252.4900054931641,
2023-05-05,261.7200012207031,
2023-05-08,257.4200134277344,
2023-05-09,262.7200012207031,
